LangID	CountryID	LangStatus	Name
nog	RU	L	Nogai
noh	PG	L	Nomu
noi	IN	L	Noiri
nok	US	X	Nooksack
noo	CA	L	Nootka
nop	PG	L	Numanggang
noq	CD	L	Ngongo
nor	NO	L	Norwegian
nos	CN	L	Nisu, Eastern
not	PE	L	Nomatsiguenga
nou	PG	L	Ewage-Notu
now	TZ	L	Nyambo
noy	TD	N	Noy
noz	ET	L	Nayi
npa	NP	L	Nar Phu
npb	BT	L	Nupbikha
nph	IN	L	Naga, Phom
npl	MX	L	Nahuatl, Southeastern Puebla
npn	PG	L	Mondropolon
npo	IN	L	Naga, Pochuri
nps	ID	L	Nipsan
npu	IN	L	Naga, Puimei
npy	ID	L	Napu
nqg	BJ	L	Ede Nago
nqk	BJ	L	Ede Nago, Kura
nqm	ID	L	Ndom
nqn	PG	L	Nen
nqo	GN	S	N'ko
nra	GA	L	Ngom
nrb	ER	L	Nara
nre	IN	L	Naga, Southern Rengma
nrg	VU	L	Narango
nri	IN	L	Naga, Chokri
nrl	AU	N	Ngarluma
nrm	MY	L	Narom
nrr	MM	L	Norra
nrx	AU	X	Ngurmbur
nrz	PG	L	Lala
nsa	IN	L	Naga, Sangtam
nsc	NG	L	Nshi
nsd	CN	L	Nisu, Southern
nse	ZM	L	Nsenga
nsg	TZ	L	Ngasa
nsh	CM	L	Ngoshie
nsi	NG	L	Nigerian Sign Language
nsk	CA	L	Naskapi
nsl	NO	L	Norwegian Sign Language
nsm	IN	L	Naga, Sumi
nsn	PG	L	Nehan
nso	ZA	L	Sotho, Northern
nsp	NP	L	Nepalese Sign Language
nsq	US	N	Miwok, Northern Sierra
nsr	CA	N	Maritime Sign Language
nss	PG	L	Nali
nst	MM	L	Naga, Tase
nsu	MX	L	Nahuatl, Sierra Negra
nsv	CN	L	Nisu, Southwestern
nsw	VU	L	Navut
nsx	AO	L	Songo
nsy	ID	L	Nasal
nsz	US	N	Nisenan
nte	MZ	L	Nathembo
nti	BF	L	Natioro
ntj	AU	L	Ngaanyatjarra
ntk	TZ	L	Ikoma-Nata-Isenye
ntm	BJ	L	Nateni
nto	CD	L	Ntomba
ntp	MX	L	Tepehuan, Northern
ntr	GH	L	Delo
nts	CO	X	Natagaimas
ntw	US	X	Nottoway
nty	VN	L	Mantsi
ntz	IR	L	Natanzi
nua	NC	L	Yuaga
nuc	BR	X	Nukuini
nud	PG	L	Ngala
nue	CD	L	Ngundu
nuf	CN	L	Nusu
nug	AU	X	Nungali
nuh	NG	L	Ndunda
nui	GQ	L	Ngumbi
nuj	UG	L	Nyole
nul	ID	N	Nusa Laut
num	TO	L	Niuafo'ou
nun	MM	L	Nung
nuo	VN	L	Nguôn
nup	NG	L	Nupe-Nupe-Tako
nuq	PG	L	Nukumanu
nur	PG	L	Nukuria
nus	SD	L	Nuer
nut	VN	L	Nung
nuu	CD	L	Ngbundu
nuv	BF	L	Nuni, Northern
nuw	FM	N	Nguluwan
nux	PG	L	Mehek
nuy	AU	L	Nunggubuyu
nuz	MX	L	Nahuatl, Tlamacazapa
nvh	VU	N	Nasarian
nvm	PG	L	Namiae
nwa	US	X	Nawathinehena
nwb	CI	L	Nyabwa
nwe	CM	L	Ngwe
nwi	VU	L	Tanna, Southwest
nwm	SD	L	Nyamusa-Molo
nwr	PG	L	Nawaru
nxa	TL	L	Nauete
nxd	CD	L	Ngando
nxe	ID	L	Nage
nxg	ID	L	Ngad'a
nxi	TZ	L	Nindi
nxl	ID	L	Nuaulu, South
nxn	AU	X	Ngawun
nxr	PG	L	Ninggerum
nxu	ID	L	Narau
nxx	ID	L	Nafri
nya	MW	L	Nyanja
nyb	GH	L	Nyangbo
nyc	CD	L	Nyanga-li
nyd	KE	L	Olunyole
nye	AO	L	Nyengo
nyf	KE	L	Kigiryama
nyg	CD	L	Nyindu
nyh	AU	N	Nyigina
nyi	SD	L	Ama
nyj	CD	L	Nyanga
nyk	AO	L	Nyaneka
nyl	TH	L	Nyeu
nym	TZ	L	Nyamwezi
nyn	UG	L	Nyankore
nyo	UG	L	Nyoro
nyp	UG	X	Nyang'i
nyq	IR	L	Nayini
nyr	MW	L	Nyiha, Malawi
nys	AU	N	Nyunga
nyt	AU	X	Nyawaygi
nyu	MZ	L	Nyungwe
nyv	AU	X	Nyulnyul
nyw	TH	L	Nyaw
nyx	AU	X	Nganyaywana
nyy	TZ	L	Nyakyusa-Ngonde
nza	CM	L	Mbembe, Tigon
nzb	GA	L	Njebi
nzi	GH	L	Nzema
nzk	CF	L	Nzakara
nzm	IN	L	Naga, Zeme
nzs	NZ	L	New Zealand Sign Language
nzu	CG	L	Teke-Nzikou
nzy	TD	L	Nzakambay
oaa	RU	L	Orok
oac	RU	L	Oroch
obi	US	X	Obispeño
obl	CM	N	Oblo
obo	PH	L	Manobo, Obo
obu	NG	L	Obulom
oca	PE	L	Ocaina
oci	FR	L	Occitan
ocu	MX	N	Matlatzinca, Atzingo
oda	NG	N	Odut
odk	PK	L	Od
odu	NG	L	Odual
ofo	US	X	Ofo
ofu	NG	L	Efutop
ogb	NG	L	Ogbia
ogc	NG	L	Ogbah
ogg	NG	L	Ogbogolo
ogo	NG	L	Khana
ogu	NG	L	Ogbronuagum
oia	ID	L	Oirata
oin	PG	L	One, Inebu
ojb	CA	L	Ojibwa, Northwestern
ojc	CA	L	Ojibwa, Central
ojg	CA	L	Ojibwa, Eastern
ojs	CA	L	Ojibwa, Severn
ojv	SB	L	Ontong Java
ojw	CA	L	Ojibwa, Western
oka	CA	L	Okanagan
okb	NG	L	Okobo
okd	NG	L	Okodia
oke	NG	L	Okpe
okh	IR	L	Koresh-e Rostam
oki	KE	L	Okiek
okj	IN	X	Oko-Juwoi
okk	PG	L	One, Kwamtim
okl	GB	X	Old Kentish Sign Language
okn	JP	L	Oki-No-Erabu
okr	NG	L	Kirike
oks	NG	L	Oko-Eni-Osayen
oku	CM	L	Oku
okv	PG	L	Orokaiva
okx	NG	L	Okpe
ola	NP	L	Walungge
old	TZ	L	Mochi
ole	BT	L	Olekha
olm	NG	L	Oloma
olo	RU	L	Livvi-Karelian
oma	US	L	Omaha-Ponca
omb	VU	L	Ambae, East
ome	CO	X	Omejes
omg	PE	N	Omagua
omi	CD	L	Omi
oml	CD	L	Ombo
omo	PG	L	Utarmbung
omt	KE	N	Omotik
omu	PE	X	Omurano
omw	PG	L	Tairora, South
ona	AR	N	Ona
onb	CN	L	Lingao
one	CA	L	Oneida
ong	PG	L	Olo
oni	ID	L	Onin
onj	PG	L	Onjob
onk	PG	L	One, Kabore
onn	PG	L	Onobasulu
ono	CA	L	Onondaga
onp	IN	L	Sartang
onr	PG	L	One, Northern
ons	PG	L	Ono
ont	PG	L	Ontenu
onu	VU	L	Unua
onx	ID	S	Onin Based Pidgin
ood	US	L	Tohono O'odham
oog	LA	L	Ong
oon	IN	L	Öñge
oor	ZA	L	Oorlams
opa	NG	L	Okpamheri
opk	ID	L	Kopkaka
opm	PG	L	Oksapmin
opo	PG	L	Opao
opt	MX	N	Opata
opy	BR	N	Ofayé
ora	SB	L	Oroha
orc	KE	L	Orma
ore	PE	L	Orejón
org	NG	L	Oring
orh	CN	L	Oroqen
ori	IN	L	Oriya
orn	MY	L	Orang Kanaq
oro	PG	L	Orokolo
orr	NG	L	Oruma
ors	MY	L	Orang Seletar
ort	IN	L	Oriya, Adivasi
oru	PK	L	Ormuri
orw	BR	N	Oro Win
orx	NG	L	Oro
orz	ID	L	Ormu
osa	US	N	Osage
osi	ID	L	Osing
oso	NG	L	Ososo
oss	GE	L	Osetin
ost	CM	L	Osatu
osu	PG	L	One, Southern
otd	ID	L	Ot Danum
ote	MX	L	Otomi, Mezquital
oti	BR	X	Oti
otl	MX	L	Otomi, Tilapa
otm	MX	L	Otomi, Eastern Highland
otn	MX	L	Otomi, Tenango
otq	MX	L	Otomi, Querétaro
otr	SD	L	Otoro
ots	MX	L	Otomi, Estado de México
ott	MX	L	Otomi, Temoaya
otu	BR	X	Otuke
otw	CA	L	Ottawa
otx	MX	L	Otomi, Texcatepec
otz	MX	L	Otomi, Ixtenco
oua	DZ	L	Tagargrent
oub	LR	L	Glio-Oubi
oue	PG	L	Ounge
oum	PG	X	Ouma
oun	AO	L	!O!ung
owi	PG	L	Owiniga
oyb	LA	L	Oy
oyd	ET	L	Oyda
oym	BR	L	Wayampi
oyy	PG	L	Oya'oya
ozm	CM	L	Koonzime
pab	BR	L	Parecís
pac	VN	L	Pacoh
pad	BR	L	Paumarí
pae	CD	L	Pagibete
paf	BR	X	Paranawát
pag	PH	L	Pangasinan
pah	BR	L	Tenharim
pai	NG	L	Pe
pak	BR	L	Parakanã
pam	PH	L	Pampangan
pan	IN	L	Panjabi, Eastern
pao	US	L	Paiute, Northern
pap	AN	L	Papiamentu
paq	TJ	L	Parya
par	US	N	Timbisha
pas	ID	L	Papasena
pat	PG	L	Papitalai
pau	PW	L	Palauan
pav	BR	L	Pakaásnovos
paw	US	N	Pawnee
pax	BR	X	Pankararé
pay	HN	L	Pech
paz	BR	X	Pankararú
pbb	CO	L	Páez
pbc	GY	L	Patamona
pbe	MX	L	Popoloca, Mezontla
pbf	MX	L	Popoloca, Coyotepec
pbg	VE	X	Paraujano
pbh	VE	L	E'ñapa Woromaipu
pbi	CM	L	Parkwa
pbl	NG	L	Mak
pbn	NG	L	Kpasam
pbo	GW	L	Papel
pbp	GN	L	Badyara
pbr	TZ	L	Pangwa
pbs	MX	L	Pame, Central
pbt	PK	L	Pashto, Southern
pbu	PK	L	Pashto, Northern
pbv	IN	L	Pnar
pby	PG	L	Pyu
pbz	MM	L	Palu
pca	MX	L	Popoloca, Santa Inés Ahuatempan
pcb	KH	L	Pear
pcc	CN	L	Bouyei
pcd	FR	L	Picard
pce	MM	L	Palaung, Ruching
pcf	IN	L	Paliyan
pcg	IN	L	Paniya
pch	IN	L	Pardhan
pci	IN	L	Duruwa
pcj	IN	N	Parenga
pck	IN	L	Chin, Paite
pcl	IN	L	Pardhi
pcm	NG	L	Pidgin, Nigerian
pcn	NG	L	Piti
pcp	BO	N	Pacahuara
pcr	CN	L	Panang
pcw	NG	L	Pyapun
pda	PG	L	Anam
pdc	US	L	German, Pennsylvania
pdi	CN	L	Pa Di
pdn	ID	L	Fedan
pdo	ID	L	Padoe
pdt	CA	L	Plautdietsch
pdu	MM	L	Kayan
pea	ID	L	Indonesian, Peranakan
peb	US	X	Pomo, Eastern
ped	PG	L	Mala
pee	ID	L	Taje
pef	US	X	Pomo, Northeastern
peg	IN	L	Pengo
peh	CN	L	Bonan
pei	MX	L	Chichimeca-Jonaz
pej	US	X	Pomo, Northern
pek	PG	L	Penchal
pel	ID	L	Pekal
pem	CD	L	Phende
pep	PG	L	Kunja
peq	US	N	Pomo, Southern
pes	IR	L	Farsi, Western
pev	VE	N	Pémono
pex	PG	L	Petats
pey	ID	L	Petjo
pez	MY	L	Penan, Eastern
pfa	FM	L	Pááfang
pfe	CM	L	Peere
pfl	DE	L	Pfaelzisch
pga	SD	L	Arabic, Sudanese Creole
pgg	IN	L	Pangwali
pgi	PG	L	Pagi
pgk	VU	L	Rerep
pgs	NG	L	Pangseng
pgu	ID	L	Pagu
pgy	NP	N	Pongyong
pha	CN	L	Pa-Hng
phd	IN	L	Phudagi
phg	VN	L	Phuong
phh	VN	L	Phula
phk	IN	L	Phake
phl	PK	L	Phalura
phm	MZ	L	Phimbi
pho	LA	L	Phunoi
phq	LA	L	Phana'
phr	PK	L	Pahari-Potwari
pht	TH	L	Phu Thai
phu	TH	L	Phuan
phv	AF	L	Pahlavani
phw	NP	L	Phangduwali
pia	MX	L	Pima Bajo
pib	PE	L	Yine
pic	GA	L	Pinji
pid	VE	L	Piaroa
pie	US	X	Piro
pif	FM	L	Pingelapese
pig	PE	L	Pisabo
pih	NF	L	Pitcairn-Norfolk
pii	AU	N	Pini
pij	CO	X	Pijao
pil	BJ	L	Yom
pim	US	X	Powhatan
pin	PG	L	Piame
pio	CO	L	Piapoco
pip	NG	L	Pero
pir	BR	L	Piratapuyo
pis	SB	L	Pijin
pit	AU	X	Pitta Pitta
piu	AU	L	Pintupi-Luritja
piv	SB	L	Vaeakau-Taumako
piw	TZ	L	Pimbwe
pix	PG	L	Piu
piy	NG	L	Piya-Kwonci
piz	NC	L	Pije
pjt	AU	L	Pitjantjatjara
pkb	KE	L	Kipfokomo
pkg	PG	L	Pak-Tong
pkh	BD	L	Pangkhua
pkn	AU	N	Pakanha
pko	KE	L	Pökoot
pkp	CK	L	Pukapuka
pkr	IN	L	Kurumba, Attapady
pks	PK	L	Pakistan Sign Language
pkt	LA	L	Maleng
pku	ID	L	Paku
pla	PG	L	Miani
plb	VU	L	Polonombauk
plc	PH	L	Palawano, Central
pld	GB	S	Polari
ple	ID	L	Palu'e
plg	AR	L	Pilagá
plh	ID	N	Paulohi
pli	IN	X	Pali
plj	NG	L	Polci
plk	PK	L	Shina, Kohistani
pll	MM	L	Palaung, Shwe
pln	CO	L	Palenquero
plo	MX	L	Popoluca, Oluta
plp	NP	L	Palpa
plr	CI	L	Senoufo, Palaka
pls	MX	L	Popoloca, San Marcos Tlalcoyalco
plt	MG	L	Malagasy, Plateau
plu	BR	L	Palikúr
plv	PH	L	Palawano, Southwest
plw	PH	L	Palawano, Brooke's Point
ply	CN	L	Bolyu
plz	MY	L	Paluan
pma	VU	L	Paama
pmb	CD	L	Pambia
pmc	ID	X	Palumata
pme	NC	L	Pwaamei
pmf	ID	L	Pamona
pmi	CN	L	Pumi, Northern
pmj	CN	L	Pumi, Southern
pml	TN	X	Lingua Franca
pmm	CM	L	Pol
pmn	CM	N	Pam
pmo	ID	L	Pom
pmq	MX	L	Pame, Northern
pmr	PG	L	Paynamar
pms	IT	L	Piemontese
pmt	PF	L	Tuamotuan
pmu	IN	L	Panjabi, Mirpur
pmw	US	N	Miwok, Plains
pmx	IN	L	Naga, Poumei
pmy	ID	L	Malay, Papuan
pmz	MX	X	Pame, Southern
pna	MY	L	Penan, Bah-Biau
pnb	PK	L	Panjabi, Western
pnc	ID	L	Pannei
pne	MY	L	Penan, Western
png	NG	L	Pongu
pnh	CK	L	Penrhyn
pni	ID	L	Aoheng
pnm	MY	N	Punan Batu 1
pnn	PG	L	Pinai-Hagahai
pno	PE	X	Panobo
pnp	ID	L	Pancana
pnq	BF	L	Pana
pnr	PG	L	Panim
pns	ID	L	Ponosakan
pnt	GR	L	Pontic
pnu	CN	L	Bunu, Jiongnai
pnv	AU	N	Pinigura
pnw	AU	N	Panytyima
pnx	LA	L	Phong-Kniang
pny	CM	L	Pinyin
pnz	CF	L	Pana
poa	GT	L	Poqomam, Eastern
pob	GT	L	Poqomchi', Western
poc	GT	L	Poqomam, Central
pod	CO	X	Ponares
poe	MX	L	Popoloca, San Juan Atzingo
pof	CD	L	Poke
pog	BR	X	Potiguára
poh	GT	L	Poqomchi', Eastern
poi	MX	L	Popoluca, Highland
pok	BR	L	Pokangá
pol	PL	L	Polish
pom	US	N	Pomo, Southeastern
pon	FM	L	Pohnpeian
poo	US	N	Pomo, Central
pop	NC	N	Pwapwa
poq	MX	L	Popoluca, Texistepec
por	PT	L	Portuguese
pos	MX	L	Popoluca, Sayula
pot	US	L	Potawatomi
pou	GT	L	Poqomam, Southern
pov	GW	L	Crioulo, Upper Guinea
pow	MX	L	Popoloca, San Felipe Otlaltepec
poy	TZ	L	Pogolo
ppa	IN	L	Pao
ppe	PG	L	Papi
ppi	MX	L	Paipai
ppk	ID	L	Uma
ppl	SV	N	Pipil
ppm	ID	L	Papuma
ppn	PG	L	Papapana
ppo	PG	L	Folopa
ppp	CD	L	Pelende
ppq	PG	L	Pei
ppr	ID	N	Piru
pps	MX	L	Popoloca, San Luís Temalacayuca
ppt	PG	L	Pare
ppu	TW	X	Papora-Hoanya
ppv	BR	L	Papavô
pqa	NG	L	Pa'a
pqm	CA	L	Malecite-Passamaquoddy
prb	TH	L	Lua'
prc	AF	L	Parachi
prd	IR	L	Parsi-Dari
pre	ST	L	Principense
prg	PL	S	Prussian
prh	PH	L	Porohanon
pri	NC	L	Paicî
prk	MM	L	Wa, Parauk
prl	PE	L	Peruvian Sign Language
prm	PG	L	Kibiri
prn	AF	L	Prasuni
prp	IN	L	Parsi
prq	PE	L	Ashéninka Perené
prr	BR	X	Puri
prs	AF	L	Farsi, Eastern
prt	TH	L	Prai
pru	ID	L	Puragi
prw	PG	L	Parawen
prx	IN	L	Purik
pry	TH	L	Pray 3
prz	CO	L	Providencia Sign Language
psa	ID	L	Awyu, Asue
psc	IR	L	Persian Sign Language
psd	US	S	Plains Indian Sign Language
pse	ID	L	Malay, Central
psg	MY	L	Penang Sign Language
psh	AF	L	Pashayi, Southwest
psi	AF	L	Pashayi, Southeast
psl	PR	L	Puerto Rican Sign Language
psm	BO	X	Pauserna
psn	ID	L	Panasuan
pso	PL	L	Polish Sign Language
psp	PH	L	Philippine Sign Language
psq	PG	L	Pasi
psr	PT	L	Portuguese Sign Language
pss	PG	L	Kaulong
pst	PK	L	Pashto, Central
psw	VU	L	Port Sandwich
psy	US	X	Piscataway
pta	PY	L	Pai Tavytera
pth	BR	X	Pataxó Hã-Ha-Hãe
pti	AU	L	Pintiini
ptn	ID	L	Patani
pto	BR	L	Zo'é
ptp	PG	L	Patep
ptr	VU	L	Piamatsina
ptt	ID	L	Enrekang
ptu	ID	L	Bambam
ptv	VU	L	Port Vato
pty	IN	L	Pathiya
pua	MX	L	Purepecha, Western Highland
pub	MM	L	Purum
puc	ID	L	Punan Merap
pud	ID	L	Punan Aput
pue	AR	N	Puelche
puf	ID	L	Punan Merah
pug	BF	L	Phuie
pui	CO	L	Puinave
puj	ID	L	Punan Tubu
puk	LA	L	Pu Ko
pum	NP	L	Puma
puo	VN	L	Puoc
pup	PG	L	Pulabu
pur	BR	N	Puruborá
put	ID	L	Putoh
puu	GA	L	Punu
puw	FM	L	Puluwatese
pux	PG	L	Puari
puy	US	X	Purisimeño
puz	IN	L	Naga, Purum
pwa	PG	L	Pawaia
pwb	NG	L	Panawa
pwg	PG	L	Gapapaiwa
pwm	PH	L	Molbog
pwn	TW	L	Paiwan
pwo	MM	L	Karen, Pwo Western
pwr	IN	L	Powari
pww	TH	L	Karen, Pwo Northern
pxm	MX	L	Mixe, Quetzaltepec
pye	CI	L	Krumen, Pye
pym	NG	L	Fyam
pyn	BR	N	Poyanáwa
pyu	TW	L	Puyuma
pyy	MM	L	Pyen
pzn	MM	L	Naga, Para
qua	US	N	Quapaw
qub	PE	L	Quechua, Huallaga Huánuco
quc	GT	L	K'iche', Central
qud	EC	L	Quichua, Calderón Highland
quf	PE	L	Quechua, Lambayeque
qug	EC	L	Quichua, Chimborazo Highland
quh	BO	L	Quechua, South Bolivian
qui	US	N	Quileute
quj	GT	L	K'iche', Joyabaj
quk	PE	L	Quechua, Chachapoyas
qul	BO	L	Quechua, North Bolivian
qum	GT	L	Sipakapense
qun	US	X	Quinault
qup	PE	L	Quechua, Southern Pastaza
quq	ES	L	Quinqui
qur	PE	L	Quechua, Chaupihuaranga
qus	AR	L	Quichua, Santiago del Estero
qut	GT	L	K'iche', West Central
quu	GT	L	K'iche', Eastern
quv	GT	L	Sakapulteko
quw	EC	L	Quichua, Tena Lowland
qux	PE	L	Quechua, Yauyos
quy	PE	L	Quechua, Ayacucho
quz	PE	L	Quechua, Cusco
qva	PE	L	Quechua, Ambo-Pasco
qvc	PE	L	Quechua, Cajamarca
qve	PE	L	Quechua, Eastern Apurímac
qvh	PE	L	Quechua, Huamalíes-Dos de Mayo Huánuco
qvi	EC	L	Quichua, Imbabura Highland
qvj	EC	L	Quichua, Loja Highland
qvl	PE	L	Quechua, Cajatambo North Lima
qvm	PE	L	Quechua, Margos-Yarowilca-Lauricocha
qvn	PE	L	Quechua, North Junín
qvo	PE	L	Quechua, Napo Lowland
qvp	PE	L	Quechua, Pacaraos
qvs	PE	L	Quechua, San Martín
qvw	PE	L	Quechua, Huaylla Wanca
qvy	CN	L	Queyu
qvz	EC	L	Quichua, Northern Pastaza
qwa	PE	L	Quechua, Corongo Ancash
qwc	PE	X	Quechua, Classical
qwh	PE	L	Quechua, Huaylas Ancash
qws	PE	L	Quechua, Sihuas Ancash
qxa	PE	L	Quechua, Chiquián Ancash
qxc	PE	L	Quechua, Chincha
qxh	PE	L	Quechua, Panao Huánuco
qxi	GT	L	K'iche', San Andrés
qxl	EC	L	Quichua, Salasaca Highland
qxn	PE	L	Quechua, Northern Conchucos Ancash
qxo	PE	L	Quechua, Southern Conchucos Ancash
qxp	PE	L	Quechua, Puno
qxq	IR	L	Kashkay
qxr	EC	L	Quichua, Cañar Highland
qxs	CN	L	Qiang, Southern
qxt	PE	L	Quechua, Santa Ana de Tusi Pasco
qxu	PE	L	Quechua, Arequipa-La Unión
qxw	PE	L	Quechua, Jauja Wanca
raa	NP	L	Dungmali
rab	NP	L	Camling
rac	ID	L	Rasawa
rad	VN	L	Rade
raf	NP	L	Meohang, Western
rag	KE	L	Lulogooli
rah	IN	L	Rabha
rai	PG	L	Ramoaaina
rak	PG	L	Tulu-Bohuai
ral	MM	L	Ralte
ram	BR	L	Canela
ran	ID	L	Riantana
rao	PG	L	Rao
rap	CL	L	Rapa Nui
raq	NP	N	Saam
rar	CK	L	Rarotongan
ras	SD	L	Tegali
rat	IR	L	Razajerdi
rau	NP	L	Raute
rav	NP	L	Sampang
raw	MM	L	Rawang
rax	NG	L	Rang
ray	PF	L	Rapa
raz	ID	L	Rahambuu
rbb	MM	L	Palaung, Rumai
rcf	RE	L	Réunion Creole French
rdb	IR	L	Rudbari
rea	PG	L	Rerau
reb	ID	L	Rembong
ree	MY	L	Kayan, Rejang
reg	TZ	L	Kara
rei	IN	L	Reli
rej	ID	L	Rejang
rel	KE	L	Rendille
rem	PE	X	Remo
ren	VN	L	Rengao
rer	ET	X	Rer Bare
res	NG	L	Reshe
ret	ID	L	Retta
rey	BO	N	Reyesano
rga	VU	L	Roria
rge	GR	L	Romano-Greek
rgk	IN	X	Rangkas
rgr	PE	N	Resígaro
rgs	VN	L	Roglai, Southern
rgu	ID	L	Ringgou
rhg	MM	L	Rohingya
rhp	PG	L	Yahang
ria	IN	L	Riang
rie	LA	L	Rien
rif	MA	L	Tarifit
ril	MM	L	Riang
rim	TZ	L	Nyaturu
rin	NG	L	Nungu
rir	ID	L	Ribun
rit	AU	L	Ritarungo
riu	ID	L	Riung
rjg	ID	L	Rajong
rji	NP	L	Raji
rjs	NP	L	Rajbanshi
rka	KH	L	Kraol
rkb	BR	L	Rikbaktsa
rkh	CK	L	Rakahanga-Manihiki
rki	MM	L	Rakhine
rkm	BF	L	Marka
rkt	BD	L	Rangpuri
rma	NI	N	Rama
rmb	AU	L	Rembarunga
rmc	CZ	L	Romani, Carpathian
rmd	DK	X	Traveller Danish
rme	GB	L	Angloromani
rmf	FI	L	Romani, Kalo Finnish
rmg	NO	L	Norwegian, Traveller
rmh	ID	L	Murkim
rmi	AM	L	Lomavren
rmk	PG	L	Romkun
rml	PL	L	Romani, Baltic
rmm	ID	L	Roma
rmn	RS	L	Romani, Balkan
rmo	RS	L	Romani, Sinte
rmp	PG	L	Rempi
rmr	ES	L	Caló
rms	RO	L	Romanian Sign Language
rmt	IR	L	Domari
rmu	SE	L	Romani, Tavringer
rmw	GB	L	Romani, Welsh
rmx	VN	L	Romam
rmy	RO	L	Romani, Vlax
rmz	BD	L	Marma
rna	CO	X	Runa
rnd	CD	L	Ruund
rng	MZ	L	Ronga
rnl	IN	L	Ranglong
rnn	ID	L	Roon
rnp	IN	L	Rongpo
rnw	TZ	L	Rungwa
rob	ID	L	Tae'
roc	VN	L	Roglai, Cacgia
rod	NG	L	Rogo
roe	PG	L	Ronji
rof	TZ	L	Rombo
rog	VN	L	Roglai, Northern
roh	CH	L	Romansch
rol	PH	L	Romblomanon
ron	RO	L	Romanian
roo	PG	L	Rotokas
rop	AU	L	Kriol
ror	ID	L	Rongga
rou	TD	L	Runga
row	ID	L	Dela-Oenale
rpn	VU	L	Repanbitip
rpt	PG	L	Rapting
rri	SB	N	Ririo
rro	PG	L	Waima
rsb	RS	L	Romano-Serbian
rsi	SB	N	Rennellese Sign Language
rsl	RU	L	Russian Sign Language
rth	ID	L	Ratahan
rtm	FJ	L	Rotuman
rtw	IN	L	Rathawi
rub	UG	L	Gungu
ruc	UG	L	Ruuli
rue	UA	L	Rusyn
ruf	TZ	L	Luguru
rug	SB	L	Roviana
ruh	IN	N	Ruga
rui	TZ	L	Rufiji
ruk	NG	L	Che
run	BI	L	Rundi
ruo	HR	L	Romanian, Istro
rup	GR	L	Aromanian
ruq	GR	L	Romanian, Megleno
rus	RU	L	Russian
rut	RU	L	Rutul
ruu	MY	L	Lobu, Lanas
ruy	NG	L	Mala
ruz	NG	L	Ruma
rwa	PG	L	Rawo
rwk	TZ	L	Rwa
rwm	UG	L	Amba
rwo	PG	L	Rawa
rwr	IN	L	Marwari
ryn	JP	L	Amami-Oshima, Northern
rys	JP	L	Yaeyama
ryu	JP	L	Okinawan, Central
saa	TD	L	Saba
sab	PA	L	Buglere
sac	US	L	Meskwaki
sad	TZ	L	Sandawe
sae	BR	N	Sabanês
saf	GH	L	Safaliba
sag	CF	L	Sango
sah	RU	L	Yakut
saj	ID	L	Sahu
sak	GA	L	Sake
sam	PS	X	Samaritan Aramaic
san	IN	L	Sanskrit
sao	ID	L	Sause
sap	PY	L	Sanapaná
saq	KE	L	Samburu
sar	BO	X	Saraveca
sas	ID	L	Sasak
sat	IN	L	Santali
sau	ID	L	Saleman
sav	SN	L	Saafi-Saafi
saw	ID	L	Sawi
sax	VU	L	Sa
say	NG	L	Saya
saz	IN	L	Saurashtra
sba	TD	L	Ngambay
sbb	SB	L	Simbo
sbc	PG	L	Kele
sbd	BF	L	Samo, Southern
sbe	PG	L	Saliba
sbf	ET	L	Shabo
sbg	ID	L	Seget
sbh	PG	L	Sori-Harengan
sbi	PG	L	Seti
sbj	TD	L	Surbakhal
sbk	TZ	L	Safwa
sbl	PH	L	Sambal, Botolan
sbm	TZ	L	Sagala
sbn	PK	L	Sindhi Bhil
sbo	MY	L	Sabüm
sbp	TZ	L	Sangu
sbq	PG	L	Sileibi
sbr	ID	L	Sembakung Murut
sbs	NA	L	Kuhane
sbt	ID	L	Kimki
sbu	IN	L	Stod Bhoti
sbw	GA	L	Simba
sbx	ID	L	Seberuang
sby	ZM	L	Soli
sbz	CF	L	Sara Kaba
sca	MM	L	Sansu
scb	VN	L	Chut
sce	CN	L	Dongxiang
scf	PA	N	San Miguel Creole French
scg	ID	L	Sanggau
sch	IN	L	Sakachep
sci	LK	L	Sri Lankan Creole Malay
sck	IN	L	Sadri
scl	PK	L	Shina
scn	IT	L	Sicilian
sco	GB	L	Scots
scp	NP	L	Helambu Sherpa
scq	KH	L	Sa'och
scs	CA	L	Slavey, North
scu	IN	L	Shumcho
scv	NG	N	Sheni
scw	NG	L	Sha
sda	ID	L	Toraja-Sa'dan
sdb	IQ	L	Shabak
sdc	IT	L	Sardinian, Sassarese
sde	NG	L	Surubu
sdf	IQ	L	Sarli
sdg	AF	L	Savi
sdh	IR	L	Kurdish, Southern
sdj	CG	L	Suundi
sdl	SA	L	Saudi Arabian Sign Language
sdm	ID	L	Semandang
sdn	IT	L	Sardinian, Gallurese
sdo	MY	L	Bidayuh, Bukar-Sadong
sdp	IN	L	Sherdukpen
sdr	BD	L	Sadri, Oraon
sds	TN	X	Sened
sdt	FR	X	Shuadit
sdu	ID	L	Sarudu
sdx	MY	L	Melanau, Sibu
sdz	NL	L	Sallands
sea	MY	L	Semai
seb	CI	L	Senoufo, Shempire
sec	CA	N	Sechelt
sed	VN	L	Sedang
see	US	L	Seneca
